backCamImage,frontCamImage,numberFrontCam,numberBackCam,vehicleNumberUser,vehicleTypeUser,vehicleRfid,metroText,serial,numberFrontCam1
2023-07-23/75e6f30d-6a42-4d6e-8ade-a2c31c653e91_b.jpg,2023-07-23/75e6f30d-6a42-4d6e-8ade-a2c31c653e91_f.jpg,৭-৬8৬১,-1,76461,Microbus,42 52 54 41 FF 02 1A 11 19 3D 00 01 ,,,৭-৬8৬১
2023-07-23/e3329a69-84c4-4f8d-a5e5-63ea6b5f4925_b.jpg,2023-07-23/e3329a69-84c4-4f8d-a5e5-63ea6b5f4925_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 14 44 11 6E 00 01 ,,,-1
2023-07-23/1d950612-3c2d-4661-a663-f5b6674a2946_b.jpg,2023-07-23/1d950612-3c2d-4661-a663-f5b6674a2946_f.jpg,২০-৫২৮,-1,20528,Microbus,42 52 54 41 FF 02 19 14 14 A3 00 01 ,,,২০-৫২৮
2023-07-23/e699f9da-ee30-4cf1-a716-21c70a069486_b.jpg,2023-07-23/e699f9da-ee30-4cf1-a716-21c70a069486_f.jpg,-1,-1,1,Others,42 52 54 41 FF 24 14 0B 13 B5 00 01 ,,,-1
2023-07-23/86193614-75fe-4b99-8816-91e25a053c79_b.jpg,2023-07-23/86193614-75fe-4b99-8816-91e25a053c79_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 14 0B 18 E9 00 01 ,,,-1
2023-07-23/4c2fa034-a3ba-4bb7-a63f-ad7a208846d0_b.jpg,2023-07-23/4c2fa034-a3ba-4bb7-a63f-ad7a208846d0_f.jpg,-1,-1,1,Others,42 52 54 41 FF 24 14 0B 1F 34 00 01 ,,,-1
,2023-07-23/685d761d-f2c6-4757-9923-d8c69375c32e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 0F F0 00 01 ,,,-1
2023-07-23/5a6c6aff-ff7a-4dfe-8ed3-eab6ace36f95_b.jpg,2023-07-23/5a6c6aff-ff7a-4dfe-8ed3-eab6ace36f95_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 16 52 00 01 ,,,-1
2023-07-23/618b14e2-225e-44e8-9796-8774f8991ee6_b.jpg,2023-07-23/618b14e2-225e-44e8-9796-8774f8991ee6_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 0F 1B 0C C5 00 01 ,,,-1
2023-07-23/41c11c9f-d2c0-4d1a-9b49-f026c3d928e9_b.jpg,2023-07-23/41c11c9f-d2c0-4d1a-9b49-f026c3d928e9_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 30 13 0D 16 79 00 01 ,,,-1
2023-07-23/1ccd972f-28b5-4f9a-9fb5-9886d21b24b0_b.jpg,2023-07-23/1ccd972f-28b5-4f9a-9fb5-9886d21b24b0_f.jpg,-1,-1,1,3/4 Wheelers Motorized,42 52 54 41 FF 24 14 0B 1E A4 00 01 ,,,-1
2023-07-23/68006664-d4bf-4744-9258-24555c2ae0b8_b.jpg,2023-07-23/68006664-d4bf-4744-9258-24555c2ae0b8_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 0A 15 04 13 00 01 ,,,-1
2023-07-23/4048e9ba-3cb5-4ea1-9d55-c75a9aaeea67_b.jpg,2023-07-23/4048e9ba-3cb5-4ea1-9d55-c75a9aaeea67_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 13 38 10 7F 00 01 ,,,-1
2023-07-23/34527d91-8ef1-440b-a3d9-ed1c2fd66653_b.jpg,2023-07-23/34527d91-8ef1-440b-a3d9-ed1c2fd66653_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 14 0B 26 86 00 01 ,,,-1
2023-07-23/6145bc5d-d1b1-4af0-83cf-5f4f638ca096_b.jpg,2023-07-23/6145bc5d-d1b1-4af0-83cf-5f4f638ca096_f.jpg,-1,-1,1,Heavy Truck,42 52 54 41 FF 43 13 0D 0A 00 00 01 ,,,-1
2023-07-23/e752c6e3-a95a-49d9-93a2-75d5fc536b66_b.jpg,2023-07-23/e752c6e3-a95a-49d9-93a2-75d5fc536b66_f.jpg,,-1,NULL,NULL,42 52 54 41 FF 02 0F 1C 1B 90 00 01 ,,,
2023-07-23/1a216ab6-2627-42f0-a5d1-603c8d054046_b.jpg,2023-07-23/1a216ab6-2627-42f0-a5d1-603c8d054046_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 14 0B 1B 85 00 01 ,,,-1
2023-07-23/66cbe8db-0e1d-4b59-86b4-187cc17a85e8_b.jpg,2023-07-23/66cbe8db-0e1d-4b59-86b4-187cc17a85e8_f.jpg,-1,-1,1,Big Bus,34 16 1F A8 20 32 89 72 2C 0C 29 80 ,,,-1
2023-07-23/f9729336-5f4b-48af-a917-f76b2c843539_b.jpg,2023-07-23/f9729336-5f4b-48af-a917-f76b2c843539_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 06 0F 05 EE 00 01 ,,,-1
2023-07-23/bef900e0-91a9-4e9b-9617-22e3af78a7fb_b.jpg,2023-07-23/bef900e0-91a9-4e9b-9617-22e3af78a7fb_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 14 0B 0F 82 00 01 ,,,-1
2023-07-23/d43af026-6f2c-4f92-8539-749109ba1cae_b.jpg,2023-07-23/d43af026-6f2c-4f92-8539-749109ba1cae_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 06 0F 05 BF 00 01 ,,,-1
2023-07-23/c6906958-aff5-4715-8007-2cf948c8ab89_b.jpg,2023-07-23/c6906958-aff5-4715-8007-2cf948c8ab89_f.jpg,১৫-২৪৯১,-1,15291,Sedan Car,42 52 54 41 FF 02 1A 0F 09 BB 00 01 ,,,১৫-২৪৯১
2023-07-23/bee8108e-3a5c-4511-8586-0512fa4ccc44_b.jpg,2023-07-23/bee8108e-3a5c-4511-8586-0512fa4ccc44_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 13 1A 23 6B 00 01 ,,,-1
2023-07-23/deb11cf6-8c46-48e8-8c2a-b788804eda1c_b.jpg,2023-07-23/deb11cf6-8c46-48e8-8c2a-b788804eda1c_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 06 13 0C 10 01 00 01 ,,,-1
2023-07-23/9679c344-26c3-4147-bf98-7a7634834749_b.jpg,2023-07-23/9679c344-26c3-4147-bf98-7a7634834749_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 30 14 12 1B 69 00 01 ,,,-1
2023-07-23/80c5e31c-681a-4af2-ba07-37d160243c09_b.jpg,2023-07-23/80c5e31c-681a-4af2-ba07-37d160243c09_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 19 0F 19 42 00 01 ,,,-1
2023-07-23/b5a5b32a-675f-431d-85df-29abad44340b_b.jpg,2023-07-23/b5a5b32a-675f-431d-85df-29abad44340b_f.jpg,-1,-1,1,Heavy Truck,42 52 54 41 FF 02 0F 1F 1B 35 00 01 ,,,-1
2023-07-23/b53df52d-e917-421a-8332-076537145885_b.jpg,2023-07-23/b53df52d-e917-421a-8332-076537145885_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 13 0E 18 F1 00 01 ,,,-1
2023-07-23/906f6978-7826-421f-bceb-13ad66129d24_b.jpg,2023-07-23/906f6978-7826-421f-bceb-13ad66129d24_f.jpg,-1,-1,1,Mini Truck,34 16 1F A8 20 32 89 72 2C 0B 00 A0 ,,,-1
2023-07-23/cd6b92ba-4a77-4d1a-b770-52edeed8fa10_b.jpg,2023-07-23/cd6b92ba-4a77-4d1a-b770-52edeed8fa10_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 19 0F 24 1E 00 01 ,,,-1
2023-07-23/dbf6743b-f9ad-45c4-895d-f6315388809f_b.jpg,2023-07-23/dbf6743b-f9ad-45c4-895d-f6315388809f_f.jpg,,-1,1,Mini Bus/Coster,42 52 54 41 FF 11 1D 0B 00 1C 00 01 ,,,
2023-07-23/bb9634d5-a32a-441c-a5de-2e3499862018_b.jpg,2023-07-23/bb9634d5-a32a-441c-a5de-2e3499862018_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 14 13 0E 02 3B 00 01 ,,,-1
2023-07-23/b210093f-64fd-4c2f-9e36-d678c1e64f15_b.jpg,2023-07-23/b210093f-64fd-4c2f-9e36-d678c1e64f15_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 36 14 0F 1D 0C 00 01 ,,,-1
2023-07-23/48f871f6-051d-44c2-894d-23fc50059346_b.jpg,2023-07-23/48f871f6-051d-44c2-894d-23fc50059346_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 13 0D 05 91 00 01 ,,,-1
2023-07-23/c61ee136-16fe-4476-ac71-902b91224ee3_b.jpg,2023-07-23/c61ee136-16fe-4476-ac71-902b91224ee3_f.jpg,৩৭-২৫৭১,-1,372571,Sedan Car,42 52 54 41 FF 02 0F 25 0A 0B 00 01 ,,,৩৭-২৫৭১
2023-07-23/3e2b6d65-c183-4a45-8b17-7419b591097a_b.jpg,2023-07-23/3e2b6d65-c183-4a45-8b17-7419b591097a_f.jpg,-1,-1,1,Motorcycle,E2 00 00 1B 66 08 02 14 03 60 ED 82 ,,,-1
2023-07-23/8d1d00c9-6ee9-49c5-b02f-bb02b47bc995_b.jpg,2023-07-23/8d1d00c9-6ee9-49c5-b02f-bb02b47bc995_f.jpg,৩৭-৪১৬৩,-1,37163,Sedan Car,42 52 54 41 FF 02 0F 25 10 43 00 01 ,,,৩৭-৪১৬৩
2023-07-23/1d63722d-3c14-477d-adb5-98552661ab6a_b.jpg,2023-07-23/1d63722d-3c14-477d-adb5-98552661ab6a_f.jpg,-1,-1,1,Heavy Truck,E2 00 00 1B 66 0A 02 36 05 10 E2 1D ,,,-1
2023-07-23/33190a45-50e7-450f-8263-cfce6910b3b0_b.jpg,2023-07-23/33190a45-50e7-450f-8263-cfce6910b3b0_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 14 38 03 2D 00 01 ,,,-1
2023-07-23/1db36fd8-d3b4-47d2-a0cd-5ad39b20bf60_b.jpg,2023-07-23/1db36fd8-d3b4-47d2-a0cd-5ad39b20bf60_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 3A 25 89 00 01 ,,,-1
2023-07-23/b113b5e4-4f43-4c4e-8ca5-6dda0742117b_b.jpg,2023-07-23/b113b5e4-4f43-4c4e-8ca5-6dda0742117b_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 32 06 3D 00 01 ,,,-1
2023-07-23/50a66893-bdb0-468a-8c0f-314ec046f02c_b.jpg,2023-07-23/50a66893-bdb0-468a-8c0f-314ec046f02c_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 11 B1 00 01 ,,,-1
2023-07-23/685a3eb9-e0c1-4bd2-8c26-735613d0c111_b.jpg,2023-07-23/685a3eb9-e0c1-4bd2-8c26-735613d0c111_f.jpg,৩৮ ৫৭ $,-1,3857,Big Bus,42 52 54 41 FF 02 1E 0F 21 7C 00 01 ,,,৩৮ ৫৭ $
2023-07-23/271c37fd-f79f-42f1-b52f-c90aa82687ac_b.jpg,2023-07-23/271c37fd-f79f-42f1-b52f-c90aa82687ac_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 13 21 07 3D 00 01 ,,,-1
2023-07-23/1088ff5f-f1c3-407d-9a24-d577c1523bfe_b.jpg,2023-07-23/1088ff5f-f1c3-407d-9a24-d577c1523bfe_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 14 13 0E 09 D0 00 01 ,,,-1
2023-07-23/813418d8-0d1b-4600-b653-b4f2e34b8a9f_b.jpg,2023-07-23/813418d8-0d1b-4600-b653-b4f2e34b8a9f_f.jpg,৩-১৭89,-1,31749,Microbus,42 52 54 41 FF 02 06 0D 06 D3 00 01 ,,,৩-১৭89
2023-07-23/8ebb5cb8-fa99-4369-a574-ce07a4f5cf5c_b.jpg,2023-07-23/8ebb5cb8-fa99-4369-a574-ce07a4f5cf5c_f.jpg,২-০৮০৬,-1,20806,Microbus,42 52 54 41 FF 02 19 0C 03 26 00 01 ,,,২-০৮০৬
2023-07-23/8062f33d-ec1d-40c0-a0c3-af731468755f_b.jpg,2023-07-23/8062f33d-ec1d-40c0-a0c3-af731468755f_f.jpg,২০-৬০৪৫,-1,20605,Sedan Car,42 52 54 41 FF 02 0F 14 17 9D 00 01 ,,,২০-৬০৪৫
2023-07-23/1664d68e-04bf-4793-b69e-6e2fd5495a0a_b.jpg,2023-07-23/1664d68e-04bf-4793-b69e-6e2fd5495a0a_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 02 10 0C 0C AE 00 01 ,,,-1
2023-07-23/7ee3e06e-7139-4621-94ba-bb3e675d8cdc_b.jpg,2023-07-23/7ee3e06e-7139-4621-94ba-bb3e675d8cdc_f.jpg,-1,-1,1,Sedan Car,42 52 54 41 FF 02 1A 11 00 92 00 01 ,,,-1
2023-07-23/2e958f2b-13f0-4282-a26f-7890df4d3143_b.jpg,2023-07-23/2e958f2b-13f0-4282-a26f-7890df4d3143_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 02 05 0D 00 45 00 01 ,,,-1
2023-07-23/6a586f7f-01f1-4ae2-b23e-4a1f7d763e0d_b.jpg,2023-07-23/6a586f7f-01f1-4ae2-b23e-4a1f7d763e0d_f.jpg,৪৩-৫১৭৩,-1,35173,Sedan Car,42 52 54 41 FF 02 0F 2B 14 35 00 01 ,,,৪৩-৫১৭৩
2023-07-23/453e694e-8151-44cd-aaa0-11dfea680781_b.jpg,2023-07-23/453e694e-8151-44cd-aaa0-11dfea680781_f.jpg,[১৯-১২৪৮,-1,19128,Sedan Car,42 52 54 41 FF 02 07 47 0E F7 00 01 ,,,[১৯-১২৪৮
2023-07-23/5b72a070-0bc3-44b7-8bcd-05e329c95683_b.jpg,2023-07-23/5b72a070-0bc3-44b7-8bcd-05e329c95683_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 37 13 0B 0D 9A 00 01 ,,,-1
2023-07-23/d544ebdc-5aca-4e9d-8d18-0e79a839c614_b.jpg,2023-07-23/d544ebdc-5aca-4e9d-8d18-0e79a839c614_f.jpg,-1,-1,1,Big Bus,30 36 1F 8B D4 0A 1A C0 00 00 64 DA ,,,-1
2023-07-23/33d91347-84ee-4703-bd18-4b1e68b34f24_b.jpg,2023-07-23/33d91347-84ee-4703-bd18-4b1e68b34f24_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 2A 0C C8 00 01 ,,,-1
2023-07-23/75f8309b-efac-415e-8418-5b477bd67977_b.jpg,2023-07-23/75f8309b-efac-415e-8418-5b477bd67977_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 06 0B 14 EF 00 01 ,,,-1
2023-07-23/90b9ced6-be2b-4c2c-a0e3-52f371df639c_b.jpg,2023-07-23/90b9ced6-be2b-4c2c-a0e3-52f371df639c_f.jpg,২৬-7১৮৪,-1,26718,Sedan Car,42 52 54 41 FF 02 0F 17 23 18 00 01 ,,,২৬-7১৮৪
2023-07-23/82c1c4d8-7cf6-47b1-8f48-6971786c9b0d_b.jpg,2023-07-23/82c1c4d8-7cf6-47b1-8f48-6971786c9b0d_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 02 14 39 21 1B 00 01 ,,,-1
2023-07-23/3ac77696-44dd-41df-8486-6ee20e32c911_b.jpg,2023-07-23/3ac77696-44dd-41df-8486-6ee20e32c911_f.jpg,৬-১৪১৬,-1,6116,Sedan Car,42 52 54 41 FF 02 0F 24 05 88 00 01 ,,,৬-১৪১৬
2023-07-23/a7971f4f-5c2a-485d-94a8-a2284770ccde_b.jpg,2023-07-23/a7971f4f-5c2a-485d-94a8-a2284770ccde_f.jpg,,-1,NULL,NULL,42 52 54 41 FF 02 0F 22 18 C0 00 01 ,,,
2023-07-23/630a54c9-b0a9-4906-9244-e4be647528f1_b.jpg,2023-07-23/630a54c9-b0a9-4906-9244-e4be647528f1_f.jpg,-1,৫৬-৩৫০১,NULL,NULL,42 52 54 41 FF 02 19 38 0D AD 00 01 ,,,-1
2023-07-23/98179126-fd19-4081-b3eb-c2a3dbedcb37_b.jpg,2023-07-23/98179126-fd19-4081-b3eb-c2a3dbedcb37_f.jpg,১৬-৩৭৩০,-1,NULL,NULL,42 52 54 41 FF 02 19 10 0E 95 00 01 ,,,১৬-৩৭৩০
2023-07-23/4ca653ca-8adc-4ede-9efa-39452b7cf1d1_b.jpg,2023-07-23/4ca653ca-8adc-4ede-9efa-39452b7cf1d1_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 21 13 CF 00 02 ,,,-1
2023-07-23/d9a6791b-7264-4553-992b-2cd62a66a678_b.jpg,2023-07-23/d9a6791b-7264-4553-992b-2cd62a66a678_f.jpg,২৫-৪৬০১,-1,25601,Sedan Car,42 52 54 41 FF 02 0F 19 11 F9 00 01 ,,,২৫-৪৬০১
2023-07-23/cd899023-b132-48e8-9a4a-6381bb0a1236_b.jpg,2023-07-23/cd899023-b132-48e8-9a4a-6381bb0a1236_f.jpg,৮৯,-1,89,Mini Bus/Coster,42 52 54 41 FF 02 1E 0E 23 17 00 01 ,,,৮৯
2023-07-23/b2703e0d-ce24-4342-8513-fa29b06073c0_b.jpg,2023-07-23/b2703e0d-ce24-4342-8513-fa29b06073c0_f.jpg,-1,,NULL,NULL,42 52 54 41 FF 06 14 0C 1B 99 00 01 ,,,-1
2023-07-23/af1d367d-ed54-4434-9964-29cea202a81b_b.jpg,2023-07-23/af1d367d-ed54-4434-9964-29cea202a81b_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 24 14 0B 12 10 00 01 ,,,-1
2023-07-23/e2d31c06-62e7-46c6-bb63-e50c2486a690_b.jpg,2023-07-23/e2d31c06-62e7-46c6-bb63-e50c2486a690_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 19 0B 15 49 00 01 ,,,-1
2023-07-23/1294cc75-b1b6-4088-9f1d-ae039022c36c_b.jpg,2023-07-23/1294cc75-b1b6-4088-9f1d-ae039022c36c_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 13 9B 00 01 ,,,-1
2023-07-23/c9dbfb7e-6527-4f83-9a7c-abe7061fa0c3_b.jpg,2023-07-23/c9dbfb7e-6527-4f83-9a7c-abe7061fa0c3_f.jpg,-8৫0,-1,450,Big Bus,42 52 54 41 FF 2A 13 0B 0E 9B 00 01 ,,,-8৫0
2023-07-23/dd1bec26-425c-4e40-a1f3-50a208396c30_b.jpg,2023-07-23/dd1bec26-425c-4e40-a1f3-50a208396c30_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 07 47 0D 4C 00 01 ,,,-1
2023-07-23/d18d9522-557a-4c70-b1db-c8adb836e6aa_b.jpg,2023-07-23/d18d9522-557a-4c70-b1db-c8adb836e6aa_f.jpg,১৯-৩৪৯৬,-1,19396,Microbus,42 52 54 41 FF 02 19 13 0D A8 00 01 ,,,১৯-৩৪৯৬
2023-07-23/0861a6d5-ea2f-49bb-a9e0-42d61cf64cde_b.jpg,2023-07-23/0861a6d5-ea2f-49bb-a9e0-42d61cf64cde_f.jpg,-1,-1,1,Microbus,42 52 54 41 FF 02 19 0F 00 B6 00 01 ,,,-1
2023-07-23/aaeff681-c845-4320-998c-7cb0652cf6ce_b.jpg,2023-07-23/aaeff681-c845-4320-998c-7cb0652cf6ce_f.jpg,১৯-৭৩০৪,-1,19730,Sedan Car,42 52 54 41 FF 02 0F 13 1C 88 00 01 ,,,১৯-৭৩০৪
2023-07-23/81f97126-890a-4aa1-b0dc-c26f2010bf78_b.jpg,2023-07-23/81f97126-890a-4aa1-b0dc-c26f2010bf78_f.jpg,,-1,1,Sedan Car,42 52 54 41 FF 02 10 0C 0D 57 00 01 ,,,
2023-07-23/bd66c3b0-ccc2-4d76-8613-fbb23850bc11_b.jpg,2023-07-23/bd66c3b0-ccc2-4d76-8613-fbb23850bc11_f.jpg,১৩-8৬08,-1,134604,Sedan Car,42 52 54 41 FF 02 1A 0D 11 FC 00 01 ,,,১৩-8৬08
2023-07-23/7f005a19-a28f-433d-ac72-ed1aaace6782_b.jpg,2023-07-23/7f005a19-a28f-433d-ac72-ed1aaace6782_f.jpg,,-1,1,Microbus,42 52 54 41 FF 02 19 0D 22 4E 00 01 ,,,
2023-07-23/376a38f4-051b-44ef-9b27-9a0f9a99fbcb_b.jpg,2023-07-23/376a38f4-051b-44ef-9b27-9a0f9a99fbcb_f.jpg,-1,-1,1,Mini Truck,42 52 54 41 FF 15 14 0B 11 B9 00 01 ,,,-1
2023-07-23/4f799cfc-834b-4b63-b0f1-7ac9e6380076_b.jpg,2023-07-23/4f799cfc-834b-4b63-b0f1-7ac9e6380076_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 06 0F 09 A5 00 01 ,,,-1
2023-07-23/097466ba-d320-431a-b9f4-3f4f1697a148_b.jpg,2023-07-23/097466ba-d320-431a-b9f4-3f4f1697a148_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 0C 57 00 01 ,,,-1
2023-07-23/05c674fd-1004-4dd0-a4ea-38df958b699d_b.jpg,2023-07-23/05c674fd-1004-4dd0-a4ea-38df958b699d_f.jpg,-1,-1,1,Others,42 52 54 41 FF 37 13 0B 0F FE 00 01 ,,,-1
2023-07-23/e5e0367c-5c31-4cd9-b254-9a85ae4daac3_b.jpg,2023-07-23/e5e0367c-5c31-4cd9-b254-9a85ae4daac3_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 14 0A 0B 04 C3 00 01 ,,,-1
2023-07-23/be71bdfe-f8ea-4aa0-92b4-94316d4feb83_b.jpg,2023-07-23/be71bdfe-f8ea-4aa0-92b4-94316d4feb83_f.jpg,-1,৪03৫৬58,035654,Motorcycle,42 52 54 41 FF 02 0F 2D 14 D6 00 01 ,,,-1
2023-07-23/ce6cc153-086d-4375-b630-b3a4b243eaef_b.jpg,2023-07-23/ce6cc153-086d-4375-b630-b3a4b243eaef_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 2D 14 D6 00 01 ,,,-1
2023-07-23/86906dc2-af16-43cb-ab29-1cb3073af350_b.jpg,2023-07-23/86906dc2-af16-43cb-ab29-1cb3073af350_f.jpg,,-1,1,Sedan Car,16 13 04 04 08 16 00 00 00 01 76 56 ,,,
2023-07-23/b374564f-f366-4636-a76d-a5a56088ed2f_b.jpg,2023-07-23/b374564f-f366-4636-a76d-a5a56088ed2f_f.jpg,-1,-1,1,Heavy Truck,16 13 04 04 08 16 00 00 00 01 76 56 ,,,-1
2023-07-23/d3486185-d2d0-43d7-a21b-c0db201d59e3_b.jpg,2023-07-23/d3486185-d2d0-43d7-a21b-c0db201d59e3_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 43 09 0B 08 FF 00 01 ,,,-1
2023-07-23/cc6aadb8-0bea-42e1-8b32-0282885b6086_b.jpg,2023-07-23/cc6aadb8-0bea-42e1-8b32-0282885b6086_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 24 13 0B 0D A5 00 01 ,,,-1
2023-07-23/fde93b24-0085-441d-8a4d-0a6cf1f7cd4a_b.jpg,2023-07-23/fde93b24-0085-441d-8a4d-0a6cf1f7cd4a_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 27 0F F8 00 01 ,,,-1
2023-07-23/083a0b15-c39f-4c6f-820d-cf3d3823cbf9_b.jpg,2023-07-23/083a0b15-c39f-4c6f-820d-cf3d3823cbf9_f.jpg,,-1,NULL,NULL,42 52 54 41 FF 02 0F 19 21 7F 00 01 ,,,
2023-07-23/82d233b9-e392-40b0-b3eb-973c8043f5c7_b.jpg,2023-07-23/82d233b9-e392-40b0-b3eb-973c8043f5c7_f.jpg,১৮-৮৩৬৭,-1,NULL,NULL,42 52 54 41 FF 02 1A 12 20 AF 00 01 ,,,১৮-৮৩৬৭
2023-07-23/f01993e3-e853-459c-bcd7-9ca84945f548_b.jpg,2023-07-23/f01993e3-e853-459c-bcd7-9ca84945f548_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 14 13 0E 1C 0D 00 01 ,,,-1
2023-07-23/eca551e6-23dd-4713-8bb1-e334c4a764ea_b.jpg,2023-07-23/eca551e6-23dd-4713-8bb1-e334c4a764ea_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 36 09 0B 05 F2 00 01 ,,,-1
2023-07-23/9a45920d-2e59-42e3-a4dc-13394c2e7431_b.jpg,2023-07-23/9a45920d-2e59-42e3-a4dc-13394c2e7431_f.jpg,-1,-1,NULL,NULL,E2 00 00 20 40 10 02 21 25 50 CA C2 ,,,-1
2023-07-23/8c28908a-cc8d-4c04-a001-fa39d0e2941e_b.jpg,2023-07-23/8c28908a-cc8d-4c04-a001-fa39d0e2941e_f.jpg,-1,-1,NULL,NULL,30 34 03 0D D0 1E CA 80 00 00 56 36 ,,,-1
2023-07-23/1d23c519-4ab3-4a68-84d1-4598cc316f09_b.jpg,2023-07-23/1d23c519-4ab3-4a68-84d1-4598cc316f09_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 3A 02 A4 00 01 ,,,-1
2023-07-23/031a61b7-0e92-4ef9-a714-f9ab77d216fe_b.jpg,2023-07-23/031a61b7-0e92-4ef9-a714-f9ab77d216fe_f.jpg,,-1,1,4 Wheelers,42 52 54 41 FF 14 0A 0B 04 43 00 01 ,,,
2023-07-23/31fcddd8-b610-40eb-b394-242b6bb03b02_b.jpg,2023-07-23/31fcddd8-b610-40eb-b394-242b6bb03b02_f.jpg,-1,"ঢা77 |""-5",NULL,NULL,42 52 54 41 FF 02 07 47 0E FA 00 01 ,,,-1
2023-07-23/c11515c5-3971-4e58-ae88-df38e64247e8_b.jpg,2023-07-23/c11515c5-3971-4e58-ae88-df38e64247e8_f.jpg,,-1,1,Sedan Car,42 52 54 41 FF 08 10 0B 09 DB 00 01 ,,,
2023-07-23/703d35e7-3e72-437a-9651-c1bb3fa1905a_b.jpg,2023-07-23/703d35e7-3e72-437a-9651-c1bb3fa1905a_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 43 13 0B 20 BF 00 01 ,,,-1
2023-07-23/f23e652b-8cd5-40b3-b202-1ae8656ef81f_b.jpg,2023-07-23/f23e652b-8cd5-40b3-b202-1ae8656ef81f_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 02 13 29 11 F6 00 01 ,,,-1
2023-07-23/0eb5d659-ad5c-4e13-8252-3c4aac2d6f98_b.jpg,2023-07-23/0eb5d659-ad5c-4e13-8252-3c4aac2d6f98_f.jpg,,-1,NULL,NULL,42 52 54 41 FF 02 0F 2A 1E 95 00 01 ,,,
2023-07-23/5cbf174f-b4cd-4de6-a526-fb2318cfd1fe_b.jpg,2023-07-23/5cbf174f-b4cd-4de6-a526-fb2318cfd1fe_f.jpg,২ ২৯৫,-1,NULL,NULL,42 52 54 41 FF 02 10 0C 0B 88 00 01 ,,,২ ২৯৫
2023-07-23/70188804-cb2b-466f-95a8-4c2b4a6f8b89_b.jpg,2023-07-23/70188804-cb2b-466f-95a8-4c2b4a6f8b89_f.jpg,-1,-1,NULL,NULL,30 34 0B DF 04 56 35 9E 10 AE 38 06 ,,,-1
2023-07-23/9cbb1d5d-31c6-4b09-b148-a6e32b45639f_b.jpg,2023-07-23/9cbb1d5d-31c6-4b09-b148-a6e32b45639f_f.jpg,-1,,NULL,NULL,42 52 54 41 FF 02 19 14 12 54 00 01 ,,,-1
