backCamImage,frontCamImage,numberFrontCam,numberBackCam,vehicleNumberUser,vehicleTypeUser,vehicleRfid,metroText,serial,numberFrontCam1
34,2023-07-17/84416832-a7f0-4641-8cde-3722004c2182_f.jpg,,-1,1,Microbus,42 52 54 41 FF 02 13 32 00 DC 00 01 ,,,
35,2023-07-17/6716b505-cac5-45d8-9efc-9c44582f1e2b_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 24 13 0B 18 31 00 01 ,,,-1
36,2023-07-17/4ff081e4-e9ab-4531-a0b1-806720347698_f.jpg,-1,-1,1,Big Bus,42 52 54 41 FF 02 1E 0F 16 36 00 01 ,,,-1
37,2023-07-17/d29c26ad-10c5-4c9b-9c93-542eb9193ffd_f.jpg,১৬-৪১৬১,-1,16161,Sedan Car,42 52 54 41 FF 02 0F 10 10 41 00 01 ,,,১৬-৪১৬১
38,2023-07-17/4c175a94-fa3f-45f2-9610-f1bf18a6567b_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 13 0B 1F ED 00 01 ,,,-1
39,2023-07-17/45142666-fad3-43db-bffd-6870eeda1b90_f.jpg,-1,-1,1,Medium Truck,42 52 54 41 FF 02 09 0D 15 87 00 01 ,,,-1
40,2023-07-17/9a2228f8-7530-4c33-818e-f68a0177300e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 14 0D 17 B9 00 01 ,,,-1
41,2023-07-17/b7b0aacb-9896-4743-9789-4285c3a25db4_f.jpg,-1,-1,1,4 Wheelers,42 52 54 41 FF 02 0A 13 10 66 00 01 ,,,-1
42,2023-07-17/62751b89-c04b-42d9-8094-83f45b7e4b5a_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 35 14 0C 1D D5 00 01 ,,,-1
43,2023-07-17/bd79c580-e882-451d-9260-92bd944e727e_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0A 0D 16 03 00 01 ,,,-1
44,2023-07-17/592acf24-c026-4f4d-97b8-335ff4d67496_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 06 13 0B 18 6B 00 01 ,,,-1
45,2023-07-17/8148ddf0-a1fb-4447-8298-d44b1b4bd500_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0C 0C 04 93 00 01 ,,,-1
46,2023-07-17/4760102c-ef49-4c66-9600-ec8d55fcfe93_f.jpg,১১-0990,-1,110990,Sedan Car,42 52 54 41 FF 43 0F 0B 03 02 00 01 ,,,১১-0990
47,2023-07-17/5579c9ae-16eb-4a0f-93ab-8e3acce7716f_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 1A 13 0B 12 44 00 01 ,,,-1
48,2023-07-17/e95489f8-b63b-43da-980c-bcd5595cd2f7_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 13 33 04 C9 00 01 ,,,-1
49,2023-07-17/fea99c87-9f98-48f6-8a9f-4ecf52603191_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 14 45 1B 19 00 01 ,,,-1
50,2023-07-17/7970d415-4619-4ec8-a6f2-5590eb1380bc_f.jpg,-1,-1,1,Motorcycle,42 52 54 41 FF 43 14 0E 0B 68 00 01 ,,,-1
51,2023-07-17/5c1960c0-33b5-44f6-8652-4b04a6ed43bf_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 19 10 0D 7E 00 01 ,,,-1
52,2023-07-17/ff7bcceb-e4d3-4739-82bc-085cf8c3691f_f.jpg,৩৫-৩১৪৬,-1,35316,Sedan Car,42 52 54 41 FF 02 0F 23 0C AE 00 01 ,,,৩৫-৩১৪৬
53,2023-07-17/3343d455-fc2f-4057-a2ea-2a083809aeb8_f.jpg,-1,-1,NULL,NULL,42 52 54 41 FF 02 0F 23 0C AE 00 01 ,,,-1
